Name,Price,Size
AshtonChulasilomMRTสามย่านsamyanติดมจุฬารพจุฬา,50000,
AspireSukhumvit,16000,38.33 
BEATNIQSukhumvit,67000,
BelleGrandRama,26000,43 
CondoCelesAsokeเซอเลสอโศกMrtสุขุมวิทแยกอโศกเทอมินอล,250000,
CondoCelesAsokeเซอเลสอโศกMrtสุขุมวิทแยกอโศกเทอมินอล,250000,134 
cOne,20000,26 
HotDealLifeAsoke-Rama,16000,28 
HotDealLifeAsoke-Rama,16000,
IdeomixphaholyothinคอนโดIdeoMixสะพานควาย,18000,38.26 
IDEOMobiRangNamไอดีโอโมบิรางน้ำBTSอนุสาวรีย์ชัยสมรภูมิN,20000,
Ideonewrama,25000,
Kaveseedkasetเคฟซี้ดเกษตรใกล้มเกษตรใกล้BTSสวยใหม่เฟอร์ครบพร้อมเข้าอยู่วิวสวนเนื้อที่,12000,26 
LifeonewirelessCodeConPLG,26000,35 
Liferama,30000,
LumpiniPlaceRama,12000,37 
MagnoliasatRajadamriMagnoliasRatchadamriBoulevardChitLomE,75000,
MuniqSukhumvit,100000,
Parkoriginthonglorคอนโดพาร์คออริจิ้นทองหล่อคอนโดพาร์คออริจิ้นทองหล่อพื้นที่,35000,32.94 
Parkoriginthonglorคอนโดพาร์คออริจิ้นทองหล่อ,35000,32.94 
PremioVetroKasetสถานีเกษตรศาสตร์,16000,
RhythmRatchadaริทึ่มรัชดาคอนโดRhythmRatchadaขนาด,12000,35
Thelinejatujakmochitเดอะไลน์จตุจักรหมอชิตsize,25000,35
Thelinephahol-pradipatเดอะไลน์พหลฯ-ประดิพัทธ์Thelineพหลฯ-ประดิพัทธ์,20000,37.6 
TheParklandPhetkasem,18000,
WishSignature@MidtownSiamวิชซิกเนเจอร์มิดทาวน์สยาม,22000,34 
WishSignature@MidtownSiamวิชซิกเนเจอร์มิดทาวน์สยาม,23000,34 
WishSignature@MidtownSiamวิชซิกเนเจอร์มิดทาวน์สยาม,26500,35 
ภาษาไทยด้านล่าง𝐀𝐬𝐩𝐢𝐫𝐞𝐑𝐚𝐦𝐚𝟒,12000,
คอนโดEliodelnestudomsukเอลลิโอเดลเนสท์อุดมสุข,19000,39 
AspireSukhumvit,18000,
SuperLuxuryCondoTheMonumentThonglorDetailsSize,150000,
UNKNOWN NAME,45000,46 
AspireSukhumvit,18000,
CELESASOKELocationBTSAsoke,230000,134 
ChambersOnnutStation–Studio,20000,
FYNNAsokeLocationBTSAsoke,50000,41 
HiRiseratchayothinstationไฮไรส์รัชโยธินสเตชั่น,12000,28 
IDEOChula-SamyanLocationMRTSamyan,34000,45 
IDEOQChulaSamyan,23000,29 
KnightsbridgePhaholyothin-InterchangeLocationMRTPhahonYothinStationDuplex,30000,38 
KnightsBridgePrimeSathornLocationBTSChongNonsiDuplex,32000,44 
ModizStationโมดิซสเตชั่น,13000,26 
ModizStationโมดิซสเตชั่น,13000,
NoblePloenchit,75000,
QHouseSukhumvit,25000,43 
THEBANGKOKSATHORNLocationBTSSurasak,49000,61 
TheLoftEkkamaiLocationBTSEkkamai,32000,45 
TheRoomSukhumvit,40000,44 
WhizdomEssenceSukhumvitวิสซ์ดอมเอสเซ้นส์สุขุมวิทCornerUnitalprice,32000,45
WhizdomEssenceSukhumvitวิสซ์ดอมเอสเซ้นส์สุขุมวิทCornerUnitalprice,32000,
คอนโดพญาไทคอนโดมีเนียม,25000,65 
LifeLadpraoValley,27000,35 
BeatniqSukumvit,68000,
UNKNOWN NAME,31000,36 
ChapterCharoennakhorn-RiversideLocationBTSKrungThonburi,43500,49 
XTHuaiKhwangLocationMRTHuaiKhwang,39500,52 
FourSeasonsPrivateResidencesBangkok,250000,
FynnAsoke,30000,37 
GrandCondominiumWutthakatแกรนด์คอนโดมิเนียมวุฒากาศใกล้BTSวุฒากาศตลาดพลู,8000,27.4 
GrandCondominiumWutthakatBTSWuttakat,8000,29 
GrandCondominiumWutthakatแกรนด์คอนโดมิเนียมวุฒากาศอาคารB,8000,27.4 
GrandParkViewAsokeภาษาไทยด้านล่างNearMRTPetchburiBTSAsokefullyfurnished,18000,35 
HSukhumvit,43000,
Highlightสถานีอ่อนนุชอยู่หน้าโครงการ,19500,
HOTDEAL,8500,30 
I-Condoไอคอนโดอุดมสุขสุขุมวิท,8500,
Ideocharan,20000,
Ideocharan,20000,36 
IdeoCharan,16000,
IdeoMibiSukhumvitEastpointNearBTSBangna,13500,25 
Ideomobieastpoint,30000,53 
IDEOMobiRangnamไอดีโอโมบิรางน้ำใกล้BTSอนุสาวรีย์ชัยสมรภูมิ,22000,30.56 
IDEOMobiRangnamไอดีโอโมบิรางน้ำ,22000,30.56 
IdeomobiRangnamBTSVictoryMonument,18000,28 
IdeomobiSathornไอดีโอโมบิสาทร,22000,
IdeomobiSathornไอดีโอโมบิสาทรDuplex,28000,
IdeomobiSathornไอดีโอโมบิสาทรDuplex,28000,61 
IdeoMobiSukhumvitEastpointทำเลดีใกล้BTSบางนา,13500,25 
Ideomobi,20000,
IdeoMorph,34000,40 
IDEONewRama,25000,52 
Ideonewrama,25000,
IDEONewRama,16000,31 
IdeoQChula-Samyan,19500,27 
IDEOQCHULA-SAMYAN,22000,33.5 
IdeoQSukhumvit,42000,44.79 
IdeoRatchada-Sutthisanไอดีโอรัชดา-สุทธิสาร-ใกล้รถไฟฟ้าMRTสุทธิสาร,15500,35 
IdeoSukhumvit,15000,25.62 
IdeoVerveSukhumvit,20000,
IdeoVerveSukhumvit,920000,37 
IvyAmpio,28000,
Kaveseedkasetเคฟซี้ดเกษตร,12000,26 
Kaveseedkasetเคฟซี้ดเกษตรใกล้มเกษตรใกล้BTS,12000,26 
KAVESEEDKASETใBtsเกษตร,13500,26 
KawaHausBTSOnnut,21000,
KawaHausal,31000,
Kensingtonphaholyothin,12000,
KnightBridgeCollageSukhumvit,15000,33.5 
KnightbridgePrimeOnnutal,18000,
KnightbridgePrimeRatchayothin,15000,
KnightbrigeSpaceRatchayothinBTSพหลโยธิน,35000,38 
KnightsbridgePaholyithinInterchangeBTSWatPhraSriStation,38000,
knightsbridgeprimeratchayothin,16500,28 
knightsbridgeprimeratchayothin,17000,31 
KnightsbridgePrimeSathornไนท์บริดจ์ไพร์มสาทรช่องนนทรีChongNonsistationS,24000,
KnightsbridgePrimeSathornไนท์บริดจ์ไพร์มสาทร,38000,45 
knightsbridgespaceratchayothinคอนโดไนท์บริดจ์สเปซรัชโยธิน,28000,38 
KnightsBridgeThepharakCondominiumติดMRTทิพวัล,10000,23.88 
Landmark@MRTAStationSiameseRama,23500,
Latestunit@TheMasterCentriumCondoclosetoMRTSukhumvit&BTSAsok,50000,120 
LaviqSukhumvit,170000,
LeNiceEkkamaiSukhumvit,33000,67 
Life@Sukhumvit,20000,
LifeAsokHypeMRTRAMA,24000,33 
LifeAsokeHypeไลฟ์อโศกไฮป์,24000,33 
LifeAsokeHypecไลฟ์อโศกไฮป์NearMRTRama,25000,
LifeAsokeRama,225000,40 
LifeAsoke-Rama,19000,
LifeLadpraoValleylifeladpraovalleyal,20000,35 
LifeLadpraoValleyPrice,27000,35 
LifeonewirelessCondo,25000,28 
LifePhahon-Ladpraoไลฟ์พหล-ลาดพร้าว,25000,35 
LifePhahon-Ladpraoไลฟ์พหล-ลาดพร้าว,27000,35 
LifeSathornSierra,13500,
LifeSathornSierra,22000,35 
Lifesatornsierra,21000,35 
LifeSukhumvit,16000,
LifeSukhumvit,32000,50 
LifeSukhumvit,26000,49 
LumpiniPlaceRama,13000,28 
LumpiniPlaceRama,13000,29 
LYSSCondominiumRatchayothinลิสส์คอนโดมิเนียมรัชโยธิน,16000,35 
LYSSRatchayothinลิสส์รัชโยธินใกล้BTSพหลโยธิน,16000,35 
Maestro,23000,
MetroParkSathornMRTบางแคBTSบางหว้าBTSวุฒากาศชั้น,13000,57 
Metroskyratchada,12000,35 
MetroSkyWutthakat,16000,35 
MoniiqCondoคอนโดโมนีคสุขุมวิท,11000,28 
MoniiqCondoคอนโดโมนีคสุขุมวิท,11000,
